"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7776","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/159395","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","03-Jul-2025","B K KESHAVAMURTHY","Payment Success","499587"
"7777","Karnataka","Street lights","WS/MP086/2025-2026/159592","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-May-2025","B K KESHAVAMURTHY","Payment Success","499470"
"7778","Karnataka","Security gates in streets/public place for safety purpose","WS/MP086/2025-2026/170914","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Jun-2025","B K KESHAVAMURTHY","Payment Success","499567"
"7779","Karnataka","Security gates in streets/public place for safety purpose","WS/MP086/2025-2026/170915","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Jun-2025","B K KESHAVAMURTHY","Payment Success","499341"
"7780","Karnataka","Construction of rooms and halls in school and colleges","WS/MP086/2025-2026/209983","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Dec-2025","B K KESHAVAMURTHY","Payment Success","499402"
"7781","Karnataka","Street lights","WS/MP086/2025-2026/171364","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","30-Aug-2025","EESHANNA B","Payment Success","499403"
"7782","Karnataka","Street lights","WS/MP086/2025-2026/159602","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-May-2025","EESHANNA B","Payment Success","499470"
"7783","Karnataka","Street lights","WS/MP086/2025-2026/159590","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","05-Jun-2025","N G GANESH BABU","Payment Success","499406"
"7784","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/159379","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","03-Jul-2025","N G GANESH BABU","Payment Success","499784"
"7785","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/172339","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","03-Jul-2025","N G GANESH BABU","Payment Success","499634"
"7786","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/159382","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","03-Jul-2025","N G GANESH BABU","Payment Success","498202"
"7787","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/159390","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","03-Jul-2025","N G GANESH BABU","Payment Success","498972"
"7788","Karnataka","Security gates in streets/public place for safety purpose","WS/MP086/2025-2026/170916","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Jun-2025","N G GANESH BABU","Payment Success","498956"
"7789","Karnataka","Construction of community centers and community halls","WS/MP086/2025-2026/171389","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Jun-2025","N G GANESH BABU","Payment Success","499046"
"7790","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/170925","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Jun-2025","N G GANESH BABU","Payment Success","499201"
"7791","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/227467","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","25-Mar-2026","N G GANESH BABU","Payment Success","499063"
"7792","Karnataka","Street lights","WS/MP086/2025-2026/227476","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","25-Mar-2026","N G GANESH BABU","Payment Success","497323"
"7793","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/227468","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","25-Mar-2026","N G GANESH BABU","Payment Success","498416"
"7794","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/209988","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","23-Mar-2026","N G GANESH BABU","Payment Success","499352"
"7795","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/227463","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Mar-2026","N G GANESH BABU","Payment Success","499596"
"7796","Karnataka","Street lights","WS/MP086/2025-2026/227461","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Mar-2026","N G GANESH BABU","Payment Success","497323"
"7797","Karnataka","Street lights","WS/MP086/2025-2026/171371","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","30-Aug-2025","N G GANESH BABU","Payment Success","499403"
"7798","Karnataka","Street lights","WS/MP086/2025-2026/171330","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","30-Aug-2025","N G GANESH BABU","Payment Success","499403"
"7799","Karnataka","Purchase of smart boards, visual display units and projectors","WS/MP086/2025-2026/209971","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Dec-2025","N G GANESH BABU","Payment Success","498999"
"7800","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/209984","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","24-Dec-2025","N G GANESH BABU","Payment Success","499625"
"7801","Karnataka","Installing tube-wells and borewells","WS/MP086/2025-2026/209978","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","08-Jan-2026","N G GANESH BABU","Payment Success","499239"
"7802","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/227472","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","19-Jun-2026","N G GANESH BABU","Payment Success","499063"
"7803","Karnataka","Construction of rooms and halls in school and colleges","WS/MP086/2026-2027/278894","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","18-Jul-2026","N G GANESH BABU","Payment Success","2162950"
"7804","Karnataka","Construction of rooms and halls in school and colleges","WS/MP086/2026-2027/278894","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","18-Jul-2026","N G GANESH BABU","Payment Success","1212050"
"7805","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/240742","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","14-Jul-2026","N G GANESH BABU","Payment Success","947178"
"7806","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/240742","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","14-Jul-2026","N G GANESH BABU","Payment Success","427535"
"7807","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196057","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","26-Mar-2026","N G GANESH BABU","Payment Success","1018397"
"7808","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196057","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","26-Mar-2026","N G GANESH BABU","Payment Success","481603"
"7809","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196057","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","N G GANESH BABU","Payment Success","307437"
"7810","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196057","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","N G GANESH BABU","Payment Success","191878"
"7811","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196052","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","N G GANESH BABU","Payment Success","367229"
"7812","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196052","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","N G GANESH BABU","Payment Success","257705"
"7813","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196055","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","N G GANESH BABU","Payment Success","367990"
"7814","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196055","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Jun-2026","N G GANESH BABU","Payment Success","256870"
"7815","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/240742","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jan-2026","N G GANESH BABU","Payment Success","2344349"
"7816","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/240742","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jan-2026","N G GANESH BABU","Payment Success","1780651"
"7817","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196055","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jan-2026","N G GANESH BABU","Payment Success","1232543"
"7818","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196055","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jan-2026","N G GANESH BABU","Payment Success","642457"
"7819","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196052","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jan-2026","N G GANESH BABU","Payment Success","1227154"
"7820","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/196052","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","09-Jan-2026","N G GANESH BABU","Payment Success","647846"
"7821","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201521","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","11-Mar-2026","GP Bharmoti Khurd","Payment Success","80000"
"7822","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201525","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","07-Nov-2025","GP Bharmoti Khurd","Payment Success","20000"
"7823","Himachal Pradesh","Installation of multi-gym equipment","WS/MP078/2025-2026/181356","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","02-Jun-2025","GP Bharmoti Khurd","Payment Success","50000"
"7824","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201525","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Jul-2025","GP Bharmoti Khurd","Payment Success","80000"
"7825","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/201521","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","03-Jul-2025","GP Bharmoti Khurd","Payment Success","120000"
"7826","Kerala","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP101/2025-2026/185996","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","28-May-2025","SHAJI M K","Payment Success","2194072"
"7827","Madhya Pradesh","Installing tube-wells and borewells","WS/MP106/2025-2026/180812","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","06-Jun-2025","Gram Panchayat Kuda","Payment Success","90000"
"7828","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2023-2024/3369","SEONI(District Collector Seoni_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","06-Aug-2025","GRAM PANCHAYAT GHANSORE","Payment Success","80000"
"7829","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18284/2025-2026/168246","RAISEN(DISTRICT COLLECTOR RAISEN_IDA)","Shri Ashok Singh (2024-30) (2024-2030)","Elected MP","02-Jun-2025","GP GUGALWADA JP BADI","Payment Success","150000"
"7830","Madhya Pradesh","Installing tube-wells and borewells","WS/MP106/2024-2025/166879","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","30-May-2025","NAVKANJ ASSOCIATES","Payment Success","168450"
"7831","Madhya Pradesh","Installing tube-wells and borewells","WS/MP106/2024-2025/166541","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","05-Jun-2025","NAVKANJ ASSOCIATES","Payment Success","170000"
"7832","Madhya Pradesh","Installing tube-wells and borewells","WS/MP106/2024-2025/166539","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","06-Jun-2025","NAVKANJ ASSOCIATES","Payment Success","169988"
"7833","Madhya Pradesh","Installing tube-wells and borewells","WS/MP106/2024-2025/166540","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","06-Jun-2025","NAVKANJ ASSOCIATES","Payment Success","169232"
"7834","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/3370","SEONI(District Collector Seoni_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","18-Jun-2025","GRAM PANCHAYAT BYOHARI","Payment Success","120000"
"7835","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18403/2025-2026/181259","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","05-Jun-2025","LINCH GRAMPANCHAYAT","Payment Success","500000"
"7836","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18403/2025-2026/192297","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","15-Jul-2025","LINCH GRAMPANCHAYAT","Payment Success","150000"
"7837","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/186659","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","16-Oct-2025","MANPURA SHI GRAM PANCHAYAT","Payment Success","400000"
"7838","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140619","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","12-Sep-2025","SHREE ANAND PRAKASH CHERITABAL TRAST","Payment Success","25000"
"7839","Gujarat","Construction of public libraries and reading rooms","WS/MP889/2025-2026/140619","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","04-Jun-2025","SHREE ANAND PRAKASH CHERITABAL TRAST","Payment Success","475000"
"7840","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP847/2025-2026/191577","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","30-May-2025","R c s public school","Payment Success","1500000"
"7841","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP847/2025-2026/191577","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","01-Apr-2026","R c s public school","Payment Success","1000000"
"7842","Odisha","Street lights","WS/MP138/2024-2025/172501","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","30-May-2025","SUBHADARSINI SAHOO","Payment Success","1000000"
"7843","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18374/2024-2025/152302","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","03-Jun-2025","MD RAHIMATH","Payment Success","498858"
"7844","Telangana","Lighting of public spaces","WS/MP18374/2025-2026/175111","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","04-Sep-2025","MD RAHIMATH","Payment Success","499001"
"7845","Telangana","Street lights","WS/MP18374/2025-2026/175112","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","04-Sep-2025","MD RAHIMATH","Payment Success","497434"
"7846","Telangana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18374/2024-2025/152305","MAHABUBNAGAR(DISTRICT COLLECTOR MAHABUBNAGAR_3)","Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030)","Elected MP","04-Sep-2025","MD RAHIMATH","Payment Success","499001"
"7847","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","17-Oct-2025","THE FRIENDS COOP LC SOCIETY LTD","Payment Success","1918425"
"7848","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","22-Dec-2025","THE FRIENDS COOP LC SOCIETY LTD","Payment Success","510620"
"7849","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","22-Dec-2025","THE FRIENDS COOP LC SOCIETY LTD","Payment Success","537227"
"7850","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","08-Aug-2025","THE FRIENDS COOP LC SOCIETY LTD","Payment Success","1367984"
"7851","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/152844","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","08-Aug-2025","THE FRIENDS COOP LC SOCIETY LTD","Payment Success","854200"
"7852","Punjab","Retrofitting, preservation or conservation of heritage and archaeological monuments and buildings","WS/MP844/2024-2025/127389","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","09-Jun-2025","THE FRIENDS COOP LC SOCIETY LTD","Payment Success","1095242"
"7853","Assam","Construction of rooms and halls in school and colleges","WS/MP831/2025-2026/132570","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","20-Jun-2025","Repairing of Kagrabari ME School under Dangtol","Payment Success","525000"
"7854","Assam","Construction of rooms and halls in school and colleges","WS/MP831/2025-2026/132570","CHIRANG(Deputy Commissioner Chirang_IDA)","Shri Rwngwra Narzary (2022-28) (2022-2028)","Elected MP","27-Feb-2026","Repairing of Kagrabari ME School under Dangtol","Payment Success","175000"
"7855","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18329/2024-2025/162284","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Shri Haris Beeran (2024-30) (2024-2030)","Elected MP","04-May-2026","PRAVEEN VARGHESE","Payment Success","400062"
"7856","Uttarakhand","Construction of community centers and community halls","WS/MP204/2024-2025/134578","PITHORAGARH(NRLM , pithoragarh)","Dr. Kalpana Saini (2022-28) (2022-2028)","Elected MP","18-Jan-2026","LALIT MOHAN JOSHI","Payment Success","1049555"
"7857","Chhattisgarh","Construction of community centers and community halls","WS/MP18340/2025-2026/213914","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","Shri Devendra Pratap Singh (2024-30) (2024-2030)","Elected MP","28-Apr-2026","GRAM PANCHAYAT TAMNAR","Payment Success","300000"
"7858","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2025-2026/204726","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","18-Sep-2025","GRAM PANCHAYAT BESROLI","Payment Success","1125000"
"7859","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/185881","VIDISHA(District Collector Vidisha_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","02-Mar-2026","GRAM PANCHAYAT MAHAVAN","Payment Success","418721"
"7860","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18316/2025-2026/185881","VIDISHA(District Collector Vidisha_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","05-Jun-2025","GRAM PANCHAYAT MAHAVAN","Payment Success","280000"
"7861","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP891/2025-2026/220039","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","20-Dec-2025","RESHAMIYA GRAM PANCHAYAT","Payment Success","472629"
"7862","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP187/2025-2026/194403","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","08-Sep-2025","NATIONAL INFRATECH","Payment Success","178800"
"7863","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP187/2025-2026/194413","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","08-Sep-2025","NATIONAL INFRATECH","Payment Success","178800"
"7864","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP187/2025-2026/194417","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","08-Sep-2025","NATIONAL INFRATECH","Payment Success","178800"
"7865","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP187/2025-2026/194413","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","14-Jan-2026","NATIONAL INFRATECH","Payment Success","119199"
"7866","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP187/2025-2026/194417","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","14-Jan-2026","NATIONAL INFRATECH","Payment Success","119199"
